jobname,location,company,jobLink
Junior Data Analyst,"Jakarta, Indonesia",RedDoorz,https://id.linkedin.com/jobs/view/junior-data-analyst-at-reddoorz-4033834771?position=19&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=dt8Ij1HRFXp46HX1iRhWcg%3D%3D
"Officer Partnership E-Commerce, Electronic Emergency Category","Jakarta, Indonesia",PT Bank Mandiri (Persero) Tbk.,https://id.linkedin.com/jobs/view/officer-partnership-e-commerce-electronic-emergency-category-at-pt-bank-mandiri-persero-tbk-4028408757?position=20&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=n19hpQyrkIvEgmWHlRuFZw%3D%3D
Customs & Litigation Analyst,"South Jakarta, Jakarta, Indonesia",Coca-Cola Europacific Partners,https://id.linkedin.com/jobs/view/customs-litigation-analyst-at-coca-cola-europacific-partners-4018388891?position=21&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=8qKoHg%2BpPPqGin7T6ye%2Bjg%3D%3D
Internship,"Jakarta, Jakarta, Indonesia",PT SANTOS JAYA ABADI (Kapal Api Global),https://id.linkedin.com/jobs/view/internship-at-pt-santos-jaya-abadi-kapal-api-global-4020870458?position=22&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=WZIw77Zhvqe7H%2FEc%2Fx6W2w%3D%3D
Business Analyst,Jakarta Metropolitan Area,Traveloka,https://id.linkedin.com/jobs/view/business-analyst-at-traveloka-3983489828?position=23&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=z02um%2FWCYS6bczWWPg8%2B4A%3D%3D
ACCOUNT PAYABLE STAFF,Jakarta Metropolitan Area,PT Saptaindra Sejati (Adaro Energy),https://id.linkedin.com/jobs/view/account-payable-staff-at-pt-saptaindra-sejati-adaro-energy-4027191636?position=24&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=GPM%2FtPzTds1rrUmdz1wrrQ%3D%3D
Manufacturing Excellence and Industrial System Development Analyst,"Jakarta, Jakarta, Indonesia",PT ASTRA OTOPARTS Tbk,https://id.linkedin.com/jobs/view/manufacturing-excellence-and-industrial-system-development-analyst-at-pt-astra-otoparts-tbk-4014375840?position=25&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=eyJvo3j7tSSExZ6WZeCpeQ%3D%3D
Business Development Officer,"Jakarta, Indonesia",PT Asuransi BRI Life,https://id.linkedin.com/jobs/view/business-development-officer-at-pt-asuransi-bri-life-4033868086?position=26&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=g8x4qkW5VdC1uZDQQzzrvA%3D%3D
Data Quality Analyst,"Jakarta, Indonesia",Astra Financial,https://id.linkedin.com/jobs/view/data-quality-analyst-at-astra-financial-4014520914?position=27&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=JWTFRM430U08of5lKjYMMw%3D%3D
Data Analyst,Jakarta Metropolitan Area,Traveloka,https://id.linkedin.com/jobs/view/data-analyst-at-traveloka-4033935490?position=28&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=MAc40lEDzlSX9jJ1iFzmcQ%3D%3D
